nivel,codigo_municipio,nome_municipio,uf,ano,forma_declaracao_idade,sexo,faixa_etaria,populacao
MU,2501807,Bayeux,PB,2022,Total,Total,18 anos,1219.0
MU,2501807,Bayeux,PB,2022,Total,Total,19 anos,1277.0
MU,2501807,Bayeux,PB,2022,Total,Total,20 a 24 anos,6480.0
MU,2501807,Bayeux,PB,2022,Total,Total,20 anos,1280.0
MU,2501807,Bayeux,PB,2022,Total,Total,21 anos,1336.0
MU,2501807,Bayeux,PB,2022,Total,Total,22 anos,1345.0
MU,2501807,Bayeux,PB,2022,Total,Total,23 anos,1277.0
MU,2501807,Bayeux,PB,2022,Total,Total,24 anos,1242.0
MU,2501807,Bayeux,PB,2022,Total,Total,25 a 29 anos,6119.0
MU,2501807,Bayeux,PB,2022,Total,Total,25 anos,1309.0
MU,2501807,Bayeux,PB,2022,Total,Total,26 anos,1266.0
MU,2501807,Bayeux,PB,2022,Total,Total,27 anos,1250.0
MU,2501807,Bayeux,PB,2022,Total,Total,28 anos,1148.0
MU,2501807,Bayeux,PB,2022,Total,Total,29 anos,1146.0
MU,2501807,Bayeux,PB,2022,Total,Total,30 a 34 anos,5858.0
MU,2501807,Bayeux,PB,2022,Total,Total,30 anos,1228.0
MU,2501807,Bayeux,PB,2022,Total,Total,31 anos,1077.0
MU,2501807,Bayeux,PB,2022,Total,Total,32 anos,1146.0
MU,2501807,Bayeux,PB,2022,Total,Total,33 anos,1178.0
MU,2501807,Bayeux,PB,2022,Total,Total,34 anos,1229.0
MU,2501807,Bayeux,PB,2022,Total,Total,35 a 39 anos,6166.0
MU,2501807,Bayeux,PB,2022,Total,Total,35 anos,1253.0
MU,2501807,Bayeux,PB,2022,Total,Total,36 anos,1285.0
MU,2501807,Bayeux,PB,2022,Total,Total,37 anos,1168.0
MU,2501807,Bayeux,PB,2022,Total,Total,38 anos,1238.0
MU,2501807,Bayeux,PB,2022,Total,Total,39 anos,1222.0
MU,2501807,Bayeux,PB,2022,Total,Total,40 a 44 anos,6672.0
MU,2501807,Bayeux,PB,2022,Total,Total,40 anos,1370.0
MU,2501807,Bayeux,PB,2022,Total,Total,41 anos,1364.0
MU,2501807,Bayeux,PB,2022,Total,Total,42 anos,1369.0
MU,2501807,Bayeux,PB,2022,Total,Total,43 anos,1308.0
MU,2501807,Bayeux,PB,2022,Total,Total,44 anos,1261.0
MU,2501807,Bayeux,PB,2022,Total,Total,45 a 49 anos,5942.0
MU,2501807,Bayeux,PB,2022,Total,Total,45 anos,1248.0
MU,2501807,Bayeux,PB,2022,Total,Total,46 anos,1233.0
MU,2501807,Bayeux,PB,2022,Total,Total,47 anos,1182.0
MU,2501807,Bayeux,PB,2022,Total,Total,48 anos,1090.0
MU,2501807,Bayeux,PB,2022,Total,Total,49 anos,1189.0
MU,2501807,Bayeux,PB,2022,Total,Total,50 a 54 anos,5797.0
MU,2501807,Bayeux,PB,2022,Total,Total,50 anos,1186.0
MU,2501807,Bayeux,PB,2022,Total,Total,51 anos,1186.0
MU,2501807,Bayeux,PB,2022,Total,Total,52 anos,1180.0
MU,2501807,Bayeux,PB,2022,Total,Total,53 anos,1162.0
MU,2501807,Bayeux,PB,2022,Total,Total,54 anos,1083.0
MU,2501807,Bayeux,PB,2022,Total,Total,55 a 59 anos,4867.0
MU,2501807,Bayeux,PB,2022,Total,Total,55 anos,1049.0
MU,2501807,Bayeux,PB,2022,Total,Total,56 anos,1037.0
MU,2501807,Bayeux,PB,2022,Total,Total,57 anos,985.0
MU,2501807,Bayeux,PB,2022,Total,Total,58 anos,960.0
MU,2501807,Bayeux,PB,2022,Total,Total,59 anos,836.0
MU,2501807,Bayeux,PB,2022,Total,Total,60 a 64 anos,3551.0
MU,2501807,Bayeux,PB,2022,Total,Total,60 anos,823.0
MU,2501807,Bayeux,PB,2022,Total,Total,61 anos,724.0
MU,2501807,Bayeux,PB,2022,Total,Total,62 anos,740.0
MU,2501807,Bayeux,PB,2022,Total,Total,63 anos,660.0
MU,2501807,Bayeux,PB,2022,Total,Total,64 anos,604.0
MU,2501807,Bayeux,PB,2022,Total,Total,65 a 69 anos,2623.0
MU,2501807,Bayeux,PB,2022,Total,Total,65 anos,548.0
MU,2501807,Bayeux,PB,2022,Total,Total,66 anos,561.0
MU,2501807,Bayeux,PB,2022,Total,Total,67 anos,528.0
MU,2501807,Bayeux,PB,2022,Total,Total,68 anos,536.0
MU,2501807,Bayeux,PB,2022,Total,Total,69 anos,450.0
MU,2501807,Bayeux,PB,2022,Total,Total,70 a 74 anos,2154.0
MU,2501807,Bayeux,PB,2022,Total,Total,70 anos,447.0
MU,2501807,Bayeux,PB,2022,Total,Total,71 anos,442.0
MU,2501807,Bayeux,PB,2022,Total,Total,72 anos,471.0
MU,2501807,Bayeux,PB,2022,Total,Total,73 anos,374.0
MU,2501807,Bayeux,PB,2022,Total,Total,74 anos,420.0
MU,2501807,Bayeux,PB,2022,Total,Total,75 a 79 anos,1392.0
MU,2501807,Bayeux,PB,2022,Total,Total,75 anos,325.0
MU,2501807,Bayeux,PB,2022,Total,Total,76 anos,288.0
MU,2501807,Bayeux,PB,2022,Total,Total,77 anos,287.0
MU,2501807,Bayeux,PB,2022,Total,Total,78 anos,259.0
MU,2501807,Bayeux,PB,2022,Total,Total,79 anos,233.0
MU,2501807,Bayeux,PB,2022,Total,Total,80 a 84 anos,922.0
MU,2501807,Bayeux,PB,2022,Total,Total,80 anos,226.0
MU,2501807,Bayeux,PB,2022,Total,Total,81 anos,184.0
MU,2501807,Bayeux,PB,2022,Total,Total,82 anos,213.0
MU,2501807,Bayeux,PB,2022,Total,Total,83 anos,160.0
MU,2501807,Bayeux,PB,2022,Total,Total,84 anos,139.0
MU,2501807,Bayeux,PB,2022,Total,Total,85 a 89 anos,417.0
MU,2501807,Bayeux,PB,2022,Total,Total,85 anos,119.0
MU,2501807,Bayeux,PB,2022,Total,Total,86 anos,102.0
MU,2501807,Bayeux,PB,2022,Total,Total,87 anos,86.0
MU,2501807,Bayeux,PB,2022,Total,Total,88 anos,59.0
MU,2501807,Bayeux,PB,2022,Total,Total,89 anos,51.0
MU,2501807,Bayeux,PB,2022,Total,Total,90 a 94 anos,166.0
MU,2501807,Bayeux,PB,2022,Total,Total,90 anos,51.0
MU,2501807,Bayeux,PB,2022,Total,Total,91 anos,37.0
MU,2501807,Bayeux,PB,2022,Total,Total,92 anos,34.0
MU,2501807,Bayeux,PB,2022,Total,Total,93 anos,24.0
MU,2501807,Bayeux,PB,2022,Total,Total,94 anos,20.0
MU,2501807,Bayeux,PB,2022,Total,Total,95 a 99 anos,52.0
MU,2501807,Bayeux,PB,2022,Total,Total,95 anos,15.0
MU,2501807,Bayeux,PB,2022,Total,Total,96 anos,15.0
MU,2501807,Bayeux,PB,2022,Total,Total,97 anos,11.0
MU,2501807,Bayeux,PB,2022,Total,Total,98 anos,6.0
MU,2501807,Bayeux,PB,2022,Total,Total,99 anos,5.0
MU,2501807,Bayeux,PB,2022,Total,Total,100 anos ou mais,10.0
MU,2501807,Bayeux,PB,2022,Total,Homens,18 anos,641.0
MU,2501807,Bayeux,PB,2022,Total,Homens,19 anos,631.0
MU,2501807,Bayeux,PB,2022,Total,Homens,20 a 24 anos,3244.0
MU,2501807,Bayeux,PB,2022,Total,Homens,20 anos,641.0
MU,2501807,Bayeux,PB,2022,Total,Homens,21 anos,674.0
MU,2501807,Bayeux,PB,2022,Total,Homens,22 anos,704.0
MU,2501807,Bayeux,PB,2022,Total,Homens,23 anos,610.0
MU,2501807,Bayeux,PB,2022,Total,Homens,24 anos,615.0
MU,2501807,Bayeux,PB,2022,Total,Homens,25 a 29 anos,2997.0
MU,2501807,Bayeux,PB,2022,Total,Homens,25 anos,639.0
MU,2501807,Bayeux,PB,2022,Total,Homens,26 anos,655.0
MU,2501807,Bayeux,PB,2022,Total,Homens,27 anos,590.0
MU,2501807,Bayeux,PB,2022,Total,Homens,28 anos,560.0
MU,2501807,Bayeux,PB,2022,Total,Homens,29 anos,553.0
MU,2501807,Bayeux,PB,2022,Total,Homens,30 a 34 anos,2842.0
MU,2501807,Bayeux,PB,2022,Total,Homens,30 anos,639.0
MU,2501807,Bayeux,PB,2022,Total,Homens,31 anos,536.0
MU,2501807,Bayeux,PB,2022,Total,Homens,32 anos,529.0
MU,2501807,Bayeux,PB,2022,Total,Homens,33 anos,567.0
MU,2501807,Bayeux,PB,2022,Total,Homens,34 anos,571.0
MU,2501807,Bayeux,PB,2022,Total,Homens,35 a 39 anos,2857.0
MU,2501807,Bayeux,PB,2022,Total,Homens,35 anos,592.0
MU,2501807,Bayeux,PB,2022,Total,Homens,36 anos,562.0
MU,2501807,Bayeux,PB,2022,Total,Homens,37 anos,546.0
MU,2501807,Bayeux,PB,2022,Total,Homens,38 anos,574.0
MU,2501807,Bayeux,PB,2022,Total,Homens,39 anos,583.0
MU,2501807,Bayeux,PB,2022,Total,Homens,40 a 44 anos,3119.0
MU,2501807,Bayeux,PB,2022,Total,Homens,40 anos,621.0
MU,2501807,Bayeux,PB,2022,Total,Homens,41 anos,612.0
MU,2501807,Bayeux,PB,2022,Total,Homens,42 anos,671.0
MU,2501807,Bayeux,PB,2022,Total,Homens,43 anos,625.0
MU,2501807,Bayeux,PB,2022,Total,Homens,44 anos,590.0
MU,2501807,Bayeux,PB,2022,Total,Homens,45 a 49 anos,2747.0
MU,2501807,Bayeux,PB,2022,Total,Homens,45 anos,584.0
MU,2501807,Bayeux,PB,2022,Total,Homens,46 anos,576.0
MU,2501807,Bayeux,PB,2022,Total,Homens,47 anos,547.0
MU,2501807,Bayeux,PB,2022,Total,Homens,48 anos,482.0
MU,2501807,Bayeux,PB,2022,Total,Homens,49 anos,558.0
MU,2501807,Bayeux,PB,2022,Total,Homens,50 a 54 anos,2717.0
MU,2501807,Bayeux,PB,2022,Total,Homens,50 anos,594.0
MU,2501807,Bayeux,PB,2022,Total,Homens,51 anos,554.0
MU,2501807,Bayeux,PB,2022,Total,Homens,52 anos,563.0
MU,2501807,Bayeux,PB,2022,Total,Homens,53 anos,525.0
MU,2501807,Bayeux,PB,2022,Total,Homens,54 anos,481.0
MU,2501807,Bayeux,PB,2022,Total,Homens,55 a 59 anos,2197.0
MU,2501807,Bayeux,PB,2022,Total,Homens,55 anos,480.0
MU,2501807,Bayeux,PB,2022,Total,Homens,56 anos,470.0
MU,2501807,Bayeux,PB,2022,Total,Homens,57 anos,462.0
MU,2501807,Bayeux,PB,2022,Total,Homens,58 anos,439.0
MU,2501807,Bayeux,PB,2022,Total,Homens,59 anos,346.0
MU,2501807,Bayeux,PB,2022,Total,Homens,60 a 64 anos,1601.0
MU,2501807,Bayeux,PB,2022,Total,Homens,60 anos,379.0
MU,2501807,Bayeux,PB,2022,Total,Homens,61 anos,326.0
MU,2501807,Bayeux,PB,2022,Total,Homens,62 anos,315.0
MU,2501807,Bayeux,PB,2022,Total,Homens,63 anos,304.0
MU,2501807,Bayeux,PB,2022,Total,Homens,64 anos,277.0
MU,2501807,Bayeux,PB,2022,Total,Homens,65 a 69 anos,1130.0
MU,2501807,Bayeux,PB,2022,Total,Homens,65 anos,226.0
MU,2501807,Bayeux,PB,2022,Total,Homens,66 anos,263.0
MU,2501807,Bayeux,PB,2022,Total,Homens,67 anos,241.0
MU,2501807,Bayeux,PB,2022,Total,Homens,68 anos,221.0
MU,2501807,Bayeux,PB,2022,Total,Homens,69 anos,179.0
MU,2501807,Bayeux,PB,2022,Total,Homens,70 a 74 anos,832.0
MU,2501807,Bayeux,PB,2022,Total,Homens,70 anos,167.0
MU,2501807,Bayeux,PB,2022,Total,Homens,71 anos,164.0
MU,2501807,Bayeux,PB,2022,Total,Homens,72 anos,195.0
MU,2501807,Bayeux,PB,2022,Total,Homens,73 anos,148.0
MU,2501807,Bayeux,PB,2022,Total,Homens,74 anos,158.0
MU,2501807,Bayeux,PB,2022,Total,Homens,75 a 79 anos,529.0
MU,2501807,Bayeux,PB,2022,Total,Homens,75 anos,129.0
MU,2501807,Bayeux,PB,2022,Total,Homens,76 anos,111.0
MU,2501807,Bayeux,PB,2022,Total,Homens,77 anos,105.0
MU,2501807,Bayeux,PB,2022,Total,Homens,78 anos,94.0
MU,2501807,Bayeux,PB,2022,Total,Homens,79 anos,90.0
MU,2501807,Bayeux,PB,2022,Total,Homens,80 a 84 anos,349.0
MU,2501807,Bayeux,PB,2022,Total,Homens,80 anos,80.0
MU,2501807,Bayeux,PB,2022,Total,Homens,81 anos,77.0
MU,2501807,Bayeux,PB,2022,Total,Homens,82 anos,92.0
MU,2501807,Bayeux,PB,2022,Total,Homens,83 anos,52.0
MU,2501807,Bayeux,PB,2022,Total,Homens,84 anos,48.0
MU,2501807,Bayeux,PB,2022,Total,Homens,85 a 89 anos,119.0
MU,2501807,Bayeux,PB,2022,Total,Homens,85 anos,38.0
MU,2501807,Bayeux,PB,2022,Total,Homens,86 anos,25.0
MU,2501807,Bayeux,PB,2022,Total,Homens,87 anos,15.0
MU,2501807,Bayeux,PB,2022,Total,Homens,88 anos,29.0
MU,2501807,Bayeux,PB,2022,Total,Homens,89 anos,12.0
MU,2501807,Bayeux,PB,2022,Total,Homens,90 a 94 anos,53.0
MU,2501807,Bayeux,PB,2022,Total,Homens,90 anos,16.0
MU,2501807,Bayeux,PB,2022,Total,Homens,91 anos,12.0
MU,2501807,Bayeux,PB,2022,Total,Homens,92 anos,11.0
MU,2501807,Bayeux,PB,2022,Total,Homens,93 anos,6.0
MU,2501807,Bayeux,PB,2022,Total,Homens,94 anos,8.0
MU,2501807,Bayeux,PB,2022,Total,Homens,95 a 99 anos,19.0
MU,2501807,Bayeux,PB,2022,Total,Homens,95 anos,6.0
MU,2501807,Bayeux,PB,2022,Total,Homens,96 anos,5.0
MU,2501807,Bayeux,PB,2022,Total,Homens,97 anos,6.0
MU,2501807,Bayeux,PB,2022,Total,Homens,98 anos,
MU,2501807,Bayeux,PB,2022,Total,Homens,99 anos,2.0
MU,2501807,Bayeux,PB,2022,Total,Homens,100 anos ou mais,1.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,18 anos,578.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,19 anos,646.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,20 a 24 anos,3236.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,20 anos,639.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,21 anos,662.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,22 anos,641.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,23 anos,667.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,24 anos,627.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,25 a 29 anos,3122.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,25 anos,670.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,26 anos,611.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,27 anos,660.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,28 anos,588.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,29 anos,593.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,30 a 34 anos,3016.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,30 anos,589.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,31 anos,541.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,32 anos,617.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,33 anos,611.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,34 anos,658.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,35 a 39 anos,3309.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,35 anos,661.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,36 anos,723.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,37 anos,622.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,38 anos,664.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,39 anos,639.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,40 a 44 anos,3553.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,40 anos,749.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,41 anos,752.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,42 anos,698.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,43 anos,683.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,44 anos,671.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,45 a 49 anos,3195.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,45 anos,664.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,46 anos,657.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,47 anos,635.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,48 anos,608.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,49 anos,631.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,50 a 54 anos,3080.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,50 anos,592.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,51 anos,632.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,52 anos,617.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,53 anos,637.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,54 anos,602.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,55 a 59 anos,2670.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,55 anos,569.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,56 anos,567.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,57 anos,523.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,58 anos,521.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,59 anos,490.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,60 a 64 anos,1950.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,60 anos,444.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,61 anos,398.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,62 anos,425.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,63 anos,356.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,64 anos,327.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,65 a 69 anos,1493.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,65 anos,322.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,66 anos,298.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,67 anos,287.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,68 anos,315.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,69 anos,271.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,70 a 74 anos,1322.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,70 anos,280.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,71 anos,278.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,72 anos,276.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,73 anos,226.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,74 anos,262.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,75 a 79 anos,863.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,75 anos,196.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,76 anos,177.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,77 anos,182.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,78 anos,165.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,79 anos,143.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,80 a 84 anos,573.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,80 anos,146.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,81 anos,107.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,82 anos,121.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,83 anos,108.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,84 anos,91.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,85 a 89 anos,298.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,85 anos,81.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,86 anos,77.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,87 anos,71.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,88 anos,30.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,89 anos,39.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,90 a 94 anos,113.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,90 anos,35.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,91 anos,25.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,92 anos,23.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,93 anos,18.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,94 anos,12.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,95 a 99 anos,33.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,95 anos,9.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,96 anos,10.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,97 anos,5.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,98 anos,6.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,99 anos,3.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,100 anos ou mais,9.0
MU,2503209,Cabedelo,PB,2022,Total,Total,18 anos,978.0
MU,2503209,Cabedelo,PB,2022,Total,Total,19 anos,942.0
MU,2503209,Cabedelo,PB,2022,Total,Total,20 a 24 anos,5161.0
MU,2503209,Cabedelo,PB,2022,Total,Total,20 anos,980.0
MU,2503209,Cabedelo,PB,2022,Total,Total,21 anos,1050.0
MU,2503209,Cabedelo,PB,2022,Total,Total,22 anos,1111.0
MU,2503209,Cabedelo,PB,2022,Total,Total,23 anos,1035.0
MU,2503209,Cabedelo,PB,2022,Total,Total,24 anos,985.0
MU,2503209,Cabedelo,PB,2022,Total,Total,25 a 29 anos,4879.0
MU,2503209,Cabedelo,PB,2022,Total,Total,25 anos,973.0
MU,2503209,Cabedelo,PB,2022,Total,Total,26 anos,1022.0
MU,2503209,Cabedelo,PB,2022,Total,Total,27 anos,962.0
MU,2503209,Cabedelo,PB,2022,Total,Total,28 anos,985.0
MU,2503209,Cabedelo,PB,2022,Total,Total,29 anos,937.0
MU,2503209,Cabedelo,PB,2022,Total,Total,30 a 34 anos,4666.0
MU,2503209,Cabedelo,PB,2022,Total,Total,30 anos,931.0
MU,2503209,Cabedelo,PB,2022,Total,Total,31 anos,868.0
MU,2503209,Cabedelo,PB,2022,Total,Total,32 anos,903.0
MU,2503209,Cabedelo,PB,2022,Total,Total,33 anos,985.0
MU,2503209,Cabedelo,PB,2022,Total,Total,34 anos,979.0
MU,2503209,Cabedelo,PB,2022,Total,Total,35 a 39 anos,5410.0
