CIDADE,RENDA MEDIA,ANO,cidade,valor,numero de postos formais de trabalho
Joao pessoa,"2,7",2023,joao pessoa,"4.800.808.170,95 R$",371.343
bayeux,"1,6",2023,bayeux,"353.091.445,49",12.501
cabedelo,"2,4",2023,santa rita,"570.177.616,73 R$",24.432
santa rita,"1,8",2023,cabedelo,"590.335.453,08 R$",24.007
alhandra,"1,9",2023,alhandra,231.746.486,5.775
conde,"1,8",2023,conde,238.729.390,7.973
lucena,"1,5",2023,lucena,80.861.738,2.475
pedras de fogo,"1,6",2023,pedras de fogo,190.489.681,5.969
cruz do espirito santo,"1,6",2023,cruz do espirito santo,95.754.223,2.407
rio tinto,"1,6",2023,rio tinto,"120.937.600,94",4.425
caapora,"1,7",2023,caapora,134.826.919,5.496
pitimbu,"1,9",2023,pitimbu,130.049.127,2.651